  TimeWindow  TotalIterations  Iterations  Convergence  QNColumns  DeletedQNColumns  DroppedQNColumns
   277    1015       3       1      12       3       0
   278    1018       3       1      12       2       0
   279    1021       3       1      13       1       0
   280    1024       3       1      13       2       0
   281    1027       3       1      13       2       0
   282    1030       3       1      13       2       0
   283    1033       3       1      14       1       0
   284    1036       3       1      15       1       0
   285    1039       3       1      16       1       0
   286    1042       3       1      17       1       0
   287    1045       3       1      16       3       0
   288    1048       3       1      16       2       0
   289    1051       3       1      15       3       0
   290    1054       3       1      15       2       0
   291    1057       3       1      15       2       0
   292    1060       3       1      15       2       0
   293    1063       3       1      15       2       0
   294    1066       3       1      15       2       0
   295    1069       3       1      15       2       0
   296    1072       3       1      15       2       0
   297    1075       3       1      15       2       0
   298    1078       3       1      15       2       0
   299    1081       3       1      15       2       0
   300    1084       3       1      15       2       0
   301    1087       3       1      15       2       0
   302    1090       3       1      15       2       0
   303    1093       3       1      15       2       0
   304    1096       3       1      15       2       0
   305    1099       3       1      14       3       0
   306    1102       3       1      13       3       0
   307    1105       3       1      13       2       0
   308    1108       3       1      13       2       0
   309    1111       3       1      15       0       0
   310    1114       3       1      16       1       0
   311    1117       3       1      16       2       0
   312    1120       3       1      16       2       0
   313    1123       3       1      16       2       0
   314    1126       3       1      15       3       0
   315    1129       3       1      16       1       0
   316    1132       3       1      16       2       0
   317    1135       3       1      16       2       0
   318    1138       3       1      15       3       0
   319    1141       3       1      15       2       0
   320    1144       3       1      15       2       0
   321    1147       3       1      15       2       0
   322    1150       3       1      15       2       0
   323    1153       3       1      15       2       0
   324    1156       3       1      15       2       0
   325    1159       3       1      15       2       0
   326    1162       3       1      15       2       0
   327    1165       3       1      15       2       0
   328    1168       3       1      15       2       0
   329    1171       3       1      15       2       0
   330    1174       3       1      15       2       0
   331    1177       3       1      15       2       0
   332    1180       3       1      15       2       0
   333    1183       3       1      15       2       0
   334    1186       3       1      15       2       0
   335    1189       3       1      16       1       0
   336    1192       3       1      15       3       0
   337    1195       3       1      16       1       0
   338    1198       3       1      17       1       0
   339    1201       3       1      16       3       0
   340    1204       3       1      16       2       0
   341    1207       3       1      16       2       0
   342    1210       3       1      16       2       0
   343    1213       3       1      16       2       0
   344    1216       3       1      16       2       0
   345    1219       3       1      15       3       0
   346    1222       3       1      15       2       0
   347    1225       3       1      14       3       0
   348    1228       3       1      14       2       0
   349    1231       3       1      14       2       0
   350    1234       3       1      14       2       0
   351    1237       3       1      14       2       0
   352    1240       3       1      14       2       0
   353    1243       3       1      14       2       0
   354    1246       3       1      14       2       0
   355    1249       3       1      14       2       0
   356    1252       3       1      14       2       0
   357    1255       3       1      14       2       0
   358    1258       3       1      14       2       0
   359    1261       3       1      15       1       0
   360    1264       3       1      14       3       0
   361    1267       3       1      15       1       0
   362    1270       3       1      15       2       0
   363    1273       3       1      15       2       0
   364    1276       3       1      14       3       0
   365    1279       3       1      14       2       0
   366    1282       3       1      15       1       0
   367    1285       3       1      15       2       0
   368    1288       3       1      16       1       0
   369    1291       3       1      16       2       0
   370    1294       3       1      16       2       0
   371    1297       3       1      16       2       0
   372    1300       3       1      16       2       0
   373    1303       3       1      15       3       0
   374    1306       3       1      16       1       0
   375    1309       3       1      14       4       0
   376    1312       3       1      14       2       0
   377    1315       3       1      14       2       0
   378    1318       3       1      14       2       0
   379    1321       3       1      14       2       0
   380    1324       3       1      14       2       0
   381    1327       3       1      14       2       0
   382    1330       3       1      14       2       0
   383    1333       3       1      14       2       0
   384    1336       3       1      14       2       0
   385    1339       3       1      14       2       0
   386    1342       3       1      14       2       0
   387    1345       3       1      14       2       0
   388    1348       3       1      15       1       0
   389    1351       3       1      15       2       0
   390    1354       3       1      15       2       0
   391    1357       3       1      15       2       0
   392    1360       3       1      13       4       0
   393    1363       3       1      14       1       0
   394    1366       3       1      14       2       0
   395    1369       3       1      14       2       0
   396    1372       3       1      15       1       0
   397    1375       3       1      13       4       0
   398    1378       3       1      14       1       0
   399    1381       3       1      13       3       0
   400    1384       3       1      14       1       0
   401    1387       3       1      15       1       0
   402    1390       3       1      16       1       0
   403    1393       3       1      15       3       0
   404    1396       3       1      15       2       0
   405    1399       3       1      15       2       0
   406    1402       3       1      15       2       0
   407    1405       3       1      15       2       0
   408    1408       3       1      15       2       0
   409    1411       3       1      15       2       0
