t,p_avg_Pa,p_std_Pa,p_min_Pa,p_max_Pa,span_rel_pct,Umag_max_m_s,Umag_avg_m_s,Re_max
1.9000,3985.988000,4.547474e-13,3985.988000,3985.988000,0.000000e+00,1.144052e-13,3.499748e-14,9.152419e-11
2.0000,3663.493000,0.000000e+00,3663.493000,3663.493000,0.000000e+00,1.169216e-13,3.726910e-14,9.353727e-11
2.1000,3528.738000,0.000000e+00,3528.738000,3528.738000,0.000000e+00,1.202660e-13,5.172644e-14,9.621278e-11
2.2000,3602.762000,0.000000e+00,3602.762000,3602.762000,0.000000e+00,1.131153e-13,3.435139e-14,9.049220e-11
2.3000,3767.812000,0.000000e+00,3767.812000,3767.812000,0.000000e+00,1.505588e-13,3.420012e-14,1.204470e-10
2.4000,3846.745000,4.547474e-13,3846.745000,3846.745000,0.000000e+00,1.734110e-13,9.082684e-14,1.387288e-10
2.5000,3721.703000,4.547474e-13,3721.703000,3721.703000,0.000000e+00,8.760441e-14,2.484706e-14,7.008352e-11
2.6000,3413.515000,0.000000e+00,3413.515000,3413.515000,0.000000e+00,1.404529e-13,4.591313e-14,1.123623e-10
2.7000,3069.243000,9.094947e-13,3069.243000,3069.243000,0.000000e+00,7.616634e-14,2.190764e-14,6.093307e-11
2.8000,2866.081000,4.547474e-13,2866.081000,2866.081000,0.000000e+00,8.624084e-14,2.545395e-14,6.899267e-11
2.9000,2895.192000,4.547474e-13,2895.192000,2895.192000,0.000000e+00,8.278297e-14,3.507498e-14,6.622638e-11
3.0000,3102.304000,4.547474e-13,3102.304000,3102.304000,0.000000e+00,7.356452e-14,2.620509e-14,5.885161e-11
3.1000,3324.378000,0.000000e+00,3324.378000,3324.378000,0.000000e+00,6.994459e-14,2.438078e-14,5.595567e-11
3.2000,3398.056000,9.094947e-13,3398.056000,3398.056000,0.000000e+00,9.822398e-14,3.540152e-14,7.857918e-11
3.3000,3268.109000,0.000000e+00,3268.109000,3268.109000,0.000000e+00,7.479579e-14,2.410838e-14,5.983663e-11
3.4000,3024.129000,0.000000e+00,3024.129000,3024.129000,0.000000e+00,7.402277e-14,2.754357e-14,5.921821e-11
3.5000,2841.158000,0.000000e+00,2841.158000,2841.158000,0.000000e+00,9.401843e-14,4.018550e-14,7.521475e-11
3.6000,2863.572000,0.000000e+00,2863.572000,2863.572000,0.000000e+00,8.413185e-14,3.560766e-14,6.730548e-11
3.7000,3109.036000,0.000000e+00,3109.036000,3109.036000,0.000000e+00,9.855068e-14,3.916166e-14,7.884055e-11
3.8000,3456.120000,4.547474e-13,3456.120000,3456.120000,0.000000e+00,1.039033e-13,3.807901e-14,8.312262e-11
3.9000,3723.773000,4.547474e-13,3723.773000,3723.773000,0.000000e+00,1.020292e-13,3.491569e-14,8.162339e-11
4.0000,3790.090000,9.094947e-13,3790.090000,3790.090000,0.000000e+00,1.076562e-13,3.899861e-14,8.612494e-11
4.1000,3671.795000,9.094947e-13,3671.795000,3671.795000,0.000000e+00,2.961675e-13,4.523421e-14,2.369340e-10
4.2000,3511.872000,4.547474e-13,3511.872000,3511.872000,0.000000e+00,9.219690e-14,3.629970e-14,7.375752e-11
4.3000,3483.564000,9.094947e-13,3483.564000,3483.564000,0.000000e+00,1.024122e-13,2.593619e-14,8.192973e-11
4.4000,3674.280000,9.094947e-13,3674.280000,3674.280000,0.000000e+00,1.339649e-13,3.562160e-14,1.071719e-10
4.5000,4026.282000,0.000000e+00,4026.282000,4026.282000,0.000000e+00,1.253882e-13,3.838776e-14,1.003105e-10
4.6000,4373.422000,0.000000e+00,4373.422000,4373.422000,0.000000e+00,8.750554e-14,3.207967e-14,7.000443e-11
4.7000,4549.657000,0.000000e+00,4549.657000,4549.657000,0.000000e+00,1.841073e-13,6.923075e-14,1.472859e-10
4.8000,4497.560000,9.094947e-13,4497.560000,4497.560000,0.000000e+00,1.634136e-13,5.673180e-14,1.307309e-10
4.9000,4305.051000,0.000000e+00,4305.051000,4305.051000,0.000000e+00,9.471114e-14,3.127564e-14,7.576891e-11
5.0000,4146.070000,9.094947e-13,4146.070000,4146.070000,0.000000e+00,1.020571e-13,3.790699e-14,8.164565e-11
