  TimeWindow  Iteration  ResRel(Solid-Mesh:Displacement)  ResRel(Fluid-Mesh:Force)
    15      17   5.22691264e-02   7.20618967e-01
    15      18   7.25848370e-02   4.48414259e-01
    15      19   4.70499235e-02   7.21517791e-01
    15      20   4.63405042e-02   4.47642922e-01
    15      21   5.23868742e-02   7.20622853e-01
    15      22   7.25418687e-02   4.48417335e-01
    15      23   4.70585440e-02   7.21515190e-01
    15      24   4.62868819e-02   4.47641684e-01
    15      25   5.23599203e-02   7.20617652e-01
    15      26   7.25450561e-02   4.48416234e-01
    15      27   4.71060641e-02   7.21518027e-01
    15      28   4.62761372e-02   4.47643033e-01
    15      29   5.23535618e-02   7.20616523e-01
    15      30   7.25414450e-02   4.48415869e-01
    15      31   4.71100453e-02   7.21518080e-01
    15      32   4.62740179e-02   4.47643126e-01
    15      33   5.23521874e-02   7.20616289e-01
    15      34   7.25405765e-02   4.48415787e-01
    15      35   4.71106129e-02   7.21518070e-01
    15      36   4.62735840e-02   4.47643137e-01
    15      37   5.23519043e-02   7.20616241e-01
    15      38   7.25403950e-02   4.48415770e-01
    15      39   4.71107182e-02   7.21518067e-01
    15      40   4.62734951e-02   4.47643139e-01
    15      41   5.23518462e-02   7.20616231e-01
    15      42   7.25403579e-02   4.48415767e-01
    15      43   4.71107393e-02   7.21518067e-01
    15      44   4.62734769e-02   4.47643140e-01
    15      45   5.23518343e-02   7.20616229e-01
    15      46   7.25403503e-02   4.48415766e-01
    15      47   4.71107436e-02   7.21518067e-01
    15      48   4.62734731e-02   4.47643140e-01
    15      49   5.23518319e-02   7.20616229e-01
    15      50   7.25403487e-02   4.48415766e-01
    16       1   1.76170894e-01   3.56230146e+00
    16       2   3.48215528e-01   2.95200334e-01
    16       3   2.38148455e-01   9.82291693e-02
    16       4   2.64762357e-01   4.59187458e-02
    16       5   1.94685299e-01   5.46255706e-02
    16       6   6.96445997e-02   2.45820407e-02
    16       7   2.40232582e-02   7.41228640e-03
    16       8   3.30849901e-02   8.72032887e-03
    16       9   1.99604267e-02   3.54394693e-03
    16      10   2.26822109e-02   5.11330791e-02
    16      11   1.45791012e-02   4.38761844e-02
    16      12   5.51935579e-03   2.11571288e-02
    16      13   1.73538168e-03   1.92427391e-02
    16      14   1.97038150e-03   3.29150056e-03
    16      15   3.20013138e-03   1.28517735e-02
    16      16   1.63439864e-03   1.16883394e-02
    16      17   1.62706142e-03   7.72499901e-03
    16      18   1.11821173e-02   3.85409029e-01
    16      19   4.44070215e-03   4.38943535e-01
    16      20   1.54445452e-03   9.65531482e-02
    16      21   6.90814916e-03   1.01833595e-01
    16      22   4.82589365e-04   1.97731542e-02
    16      23   2.09566801e-03   1.96690006e-02
    16      24   6.40757509e-04   1.88592005e-02
    16      25   4.79439965e-04   3.38109904e-03
    16      26   2.02344335e-03   1.29493191e-02
    16      27   5.43208077e-04   1.17644269e-02
    16      28   2.99490467e-04   7.73161898e-03
    16      29   1.10521130e-02   3.85762789e-01
    16      30   2.21114849e-03   4.39533830e-01
    16      31   2.95430347e-03   9.83684568e-02
    16      32   2.08708814e-03   1.04039728e-01
    16      33   1.02930359e-03   1.96027876e-02
    16      34   4.65307338e-03   1.97444265e-02
