  Time  Coordinate0  Coordinate1  Coordinate2  Force0  Force1  Force2
 2.35500000e+00   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -4.08105767e-04   1.57793477e-04  -6.15241557e-05
 2.35600000e+00   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -4.07855326e-04   1.57696675e-04  -6.14864244e-05
 2.35700000e+00   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -4.07602669e-04   1.57599017e-04  -6.14483589e-05
 2.35800000e+00   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -4.07347593e-04   1.57500423e-04  -6.14099283e-05
 2.35900000e+00   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -4.07092517e-04   1.57401829e-04  -6.13714975e-05
 2.36000000e+00   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -4.06837441e-04   1.57303234e-04  -6.13330664e-05
 2.36100000e+00   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -4.06581796e-04   1.57204419e-04  -6.12945493e-05
 2.36200000e+00   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -4.06322339e-04   1.57104130e-04  -6.12554573e-05
 2.36300000e+00   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -4.06062883e-04   1.57003841e-04  -6.12163650e-05
 2.36400000e+00   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -4.05803427e-04   1.56903551e-04  -6.11772725e-05
 2.36500000e+00   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -4.05543971e-04   1.56803262e-04  -6.11381798e-05
 2.36600000e+00   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -4.05281431e-04   1.56701779e-04  -6.10986217e-05
 2.36700000e+00   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -4.05018032e-04   1.56599963e-04  -6.10589339e-05
 2.36800000e+00   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -4.04754633e-04   1.56498148e-04  -6.10192458e-05
 2.36900000e+00   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -4.04491234e-04   1.56396332e-04  -6.09795576e-05
 2.37000000e+00   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -4.04226233e-04   1.56293896e-04  -6.09396273e-05
 2.37100000e+00   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -4.03959148e-04   1.56190654e-04  -6.08993827e-05
 2.37200000e+00   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -4.03692063e-04   1.56087412e-04  -6.08591379e-05
 2.37300000e+00   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -4.03424979e-04   1.55984169e-04  -6.08188928e-05
 2.37400000e+00   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -4.03157602e-04   1.55880813e-04  -6.07786033e-05
 2.37500000e+00   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -4.02887154e-04   1.55776269e-04  -6.07378505e-05
 2.37600000e+00   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -4.02616705e-04   1.55671725e-04  -6.06970973e-05
 2.37700000e+00   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -4.02346257e-04   1.55567180e-04  -6.06563438e-05
 2.37800000e+00   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -4.02075809e-04   1.55462635e-04  -6.06155902e-05
 2.37900000e+00   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -4.01803124e-04   1.55357225e-04  -6.05744989e-05
 2.38000000e+00   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -4.01529651e-04   1.55251510e-04  -6.05332886e-05
 2.38100000e+00   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -4.01256176e-04   1.55145793e-04  -6.04920777e-05
 2.38200000e+00   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -4.00982705e-04   1.55040078e-04  -6.04508669e-05
 2.38300000e+00   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -4.00708178e-04   1.54933954e-04  -6.04094970e-05
 2.38400000e+00   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -4.00432011e-04   1.54827195e-04  -6.03678793e-05
 2.38500000e+00   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -4.00155847e-04   1.54720437e-04  -6.03262616e-05
 2.38600000e+00   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -3.99879679e-04   1.54613678e-04  -6.02846432e-05
 2.38700000e+00   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -3.99603405e-04   1.54506876e-04  -6.02430085e-05
 2.38800000e+00   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -3.99324816e-04   1.54399180e-04  -6.02010244e-05
 2.38900000e+00   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -3.99046224e-04   1.54291481e-04  -6.01590396e-05
 2.39000000e+00   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -3.98767632e-04   1.54183783e-04  -6.01170545e-05
 2.39100000e+00   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -3.98489041e-04   1.54076084e-04  -6.00750692e-05
 2.39200000e+00   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -3.98209085e-04   1.53967857e-04  -6.00328777e-05
 2.39300000e+00   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -3.97928533e-04   1.53859399e-04  -5.99905962e-05
 2.39400000e+00   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -3.97647981e-04   1.53750941e-04  -5.99483143e-05
 2.39500000e+00   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -3.97367425e-04   1.53642481e-04  -5.99060316e-05
 2.39600000e+00   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -3.97086296e-04   1.53533799e-04  -5.98636621e-05
 2.39700000e+00   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -3.96804069e-04   1.53424692e-04  -5.98211267e-05
 2.39800000e+00   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -3.96521838e-04   1.53315583e-04  -5.97785905e-05
 2.39900000e+00   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -3.96239613e-04   1.53206476e-04  -5.97360548e-05
 2.40000000e+00   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -3.95957388e-04   1.53097369e-04  -5.96935189e-05
 2.40100000e+00   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -3.95673832e-04   1.52987746e-04  -5.96507818e-05
 2.40200000e+00   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -3.95390269e-04   1.52878120e-04  -5.96080435e-05
 2.40300000e+00   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -3.95106713e-04   1.52768497e-04  -5.95653059e-05
 2.40400000e+00   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -3.94823157e-04   1.52658873e-04  -5.95225679e-05
 2.40500000e+00   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -3.94538946e-04   1.52548996e-04  -5.94797310e-05
 2.40600000e+00   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -3.94254403e-04   1.52438989e-04  -5.94368436e-05
 2.40700000e+00   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -3.93969852e-04   1.52328980e-04  -5.93939546e-05
 2.40800000e+00   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -3.93685302e-04   1.52218970e-04  -5.93510657e-05
 2.40900000e+00   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -3.93400536e-04   1.52108876e-04  -5.93081437e-05
 2.41000000e+00   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -3.93115270e-04   1.51998588e-04  -5.92651459e-05
 2.41100000e+00   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -3.92830011e-04   1.51888303e-04  -5.92221489e-05
 2.41200000e+00   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -3.92544747e-04   1.51778016e-04  -5.91791510e-05
 2.41300000e+00   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -3.92259486e-04   1.51667729e-04  -5.91361531e-05
 2.41400000e+00   2.42927990e-03  -1.21057140e-03   2.46674053e-02  -3.91974011e-04   1.51557359e-04  -5.90931226e-05
