t_s,face_idx,x_m,y_m,z_m,P_Pa
0.32,228,0.00247598,0.00024386299999999995,0.0285,82.83775906728766
0.32,229,0.00238083,0.0007222175,0.0285,31185.05828934748
0.32,230,0.00219419,0.0011728195,0.0285,31725.242848085498
0.32,231,0.0019232249999999998,0.00157835,0.0285,29924.80022472999
0.32,236,0.00247598,0.00024386299999999995,0.0295,82.83778457950213
0.32,237,0.00238083,0.0007222175,0.0295,31185.03294369913
0.32,238,0.00219419,0.0011728195,0.0295,31725.228203102022
0.32,239,0.0019232249999999998,0.00157835,0.0295,29924.84472454452
0.32,458,0.0007222175,0.00238083,0.0275,29364.658823109112
0.32,459,0.00024386299999999995,0.00247598,0.0275,29364.694441550044
0.32,464,0.00157835,0.001923225,0.0285,29301.664576607247
0.32,466,0.0007222175,0.00238083,0.0285,29364.669929696127
0.32,467,0.00024386299999999995,0.00247598,0.0285,29364.65667843062
0.32,472,0.00157835,0.001923225,0.0295,29301.747350158144
0.34,228,0.00247598,0.00024386299999999995,0.0285,2633.927026456504
0.34,229,0.00238083,0.0007222175,0.0285,42642.45258307735
0.34,230,0.00219419,0.0011728195,0.0285,40008.54162125883
0.34,236,0.00247598,0.00024386299999999995,0.0295,2633.93171873627
0.34,237,0.00238083,0.0007222175,0.0295,42642.52407216181
0.34,238,0.00219419,0.0011728195,0.0295,40008.54936121029
0.34,457,0.0011728195,0.00219419,0.0275,51745.6200007305
0.34,458,0.0007222175,0.00238083,0.0275,51745.66995073114
0.34,465,0.0011728195,0.00219419,0.0285,51745.56248211048
0.34,466,0.0007222175,0.00238083,0.0285,51745.6225608505
0.36,228,0.00247598,0.00024386299999999995,0.0285,30234.952936436002
0.36,229,0.00238083,0.0007222175,0.0285,30235.713851749886
0.36,236,0.00247598,0.00024386299999999995,0.0295,30234.968459546966
0.36,237,0.00238083,0.0007222175,0.0295,30235.714099329623
0.36,456,0.00157835,0.001923225,0.0275,58459.02946252187
0.36,457,0.0011728195,0.00219419,0.0275,63544.14536163028
0.36,458,0.0007222175,0.00238083,0.0275,5085.113300792816
0.36,464,0.00157835,0.001923225,0.0285,58459.12619352089
0.36,465,0.0011728195,0.00219419,0.0285,63544.19033098147
0.36,466,0.0007222175,0.00238083,0.0285,5085.122140539006
0.38,223,0.0019232249999999998,0.00157835,0.0275,33031.53247519709
0.38,227,0.00247598,-0.00024386300000000006,0.0285,6124.066905211683
0.38,228,0.00247598,0.00024386299999999995,0.0285,22875.98286901133
0.38,229,0.00238083,0.0007222175,0.0285,16751.85106358399
0.38,231,0.0019232249999999998,0.00157835,0.0285,33031.533388429
0.38,235,0.00247598,-0.00024386300000000006,0.0295,6124.071543433584
0.38,236,0.00247598,0.00024386299999999995,0.0295,22875.966882586625
0.38,237,0.00238083,0.0007222175,0.0295,16751.87667638465
0.38,456,0.00157835,0.001923225,0.0275,62881.76134945649
0.38,457,0.0011728195,0.00219419,0.0275,32549.366274322456
0.38,458,0.0007222175,0.00238083,0.0275,2699.129390325888
0.38,464,0.00157835,0.001923225,0.0285,62881.77253552893
0.38,465,0.0011728195,0.00219419,0.0285,32549.362132190854
0.38,466,0.0007222175,0.00238083,0.0285,2699.132071790486
0.4,223,0.0019232249999999998,0.00157835,0.0275,50620.99366656091
0.4,227,0.00247598,-0.00024386300000000006,0.0285,17883.889474275442
0.4,228,0.00247598,0.00024386299999999995,0.0285,17892.347149689445
0.4,229,0.00238083,0.0007222175,0.0285,8.489931902606758
0.4,231,0.0019232249999999998,0.00157835,0.0285,50620.947619932995
0.4,235,0.00247598,-0.00024386300000000006,0.0295,17883.840706842027
0.4,236,0.00247598,0.00024386299999999995,0.0295,17892.354530782133
0.4,237,0.00238083,0.0007222175,0.0295,8.489932273716912
0.4,456,0.00157835,0.001923225,0.0275,66937.84833612446
0.4,457,0.0011728195,0.00219419,0.0275,16316.857993562977
0.4,464,0.00157835,0.001923225,0.0285,66937.77035433732
0.4,465,0.0011728195,0.00219419,0.0285,16316.87639721831
0.42,223,0.0019232249999999998,0.00157835,0.0275,57310.90902411163
0.42,227,0.00247598,-0.00024386300000000006,0.0285,16865.874798285917
0.42,228,0.00247598,0.00024386299999999995,0.0285,16865.918048552827
0.42,231,0.0019232249999999998,0.00157835,0.0285,57310.889146217225
0.42,235,0.00247598,-0.00024386300000000006,0.0295,16865.878084493586
0.42,236,0.00247598,0.00024386299999999995,0.0295,16865.92261343565
0.42,456,0.00157835,0.001923225,0.0275,65475.729593414995
0.42,457,0.0011728195,0.00219419,0.0275,8164.85160593259
0.42,464,0.00157835,0.001923225,0.0285,65475.73774605369
0.42,465,0.0011728195,0.00219419,0.0285,8164.8560517500855
0.44,223,0.0019232249999999998,0.00157835,0.0275,62167.98026227006
0.44,227,0.00247598,-0.00024386300000000006,0.0285,14883.170578479036
0.44,228,0.00247598,0.00024386299999999995,0.0285,14883.17204791035
0.44,231,0.0019232249999999998,0.00157835,0.0285,62168.0691610251
0.44,235,0.00247598,-0.00024386300000000006,0.0295,14883.168043892269
0.44,236,0.00247598,0.00024386299999999995,0.0295,14883.169368014325
0.44,456,0.00157835,0.001923225,0.0275,62168.05526136393
0.44,464,0.00157835,0.001923225,0.0285,62168.044792964174
0.46,222,0.00219419,0.0011728195,0.0275,10528.889841108605
0.46,223,0.0019232249999999998,0.00157835,0.0275,61330.162496849785
0.46,227,0.00247598,-0.00024386300000000006,0.0285,12772.465516793694
0.46,228,0.00247598,0.00024386299999999995,0.0285,12772.510363843907
0.46,230,0.00219419,0.0011728195,0.0285,10528.89410818629
0.46,231,0.0019232249999999998,0.00157835,0.0285,61330.22322248632
0.46,235,0.00247598,-0.00024386300000000006,0.0295,12772.469002496777
0.46,236,0.00247598,0.00024386299999999995,0.0295,12772.471498461055
0.46,456,0.00157835,0.001923225,0.0275,50801.33884505407
0.46,464,0.00157835,0.001923225,0.0285,50801.32825005661
