  TimeWindow  Iteration  ResRel(Solid-Mesh:Displacement)  ResRel(Fluid-Mesh:Force)
    48       2   1.17609269e-02   8.70309221e+00
    48       3   2.15699436e-04   2.21278017e-02
    48       4   3.60132271e-07   2.46961990e-04
    49       1   1.16835560e+00   1.02177486e+00
    49       2   1.05271649e-02   7.97302367e+00
    49       3   1.67546547e-04   1.83450466e-02
    49       4   9.46839275e-07   1.79292940e-04
    50       1   1.17671353e+00   1.00937515e+00
    50       2   8.96160149e-03   7.05218269e+00
    50       3   1.32708506e-04   1.44230534e-02
    50       4   2.30250430e-07   1.30779741e-04
    51       1   1.19357240e+00   9.94782916e-01
    51       2   7.05319672e-03   5.99716387e+00
    51       3   8.42472480e-05   1.05399697e-02
    51       4   5.17848355e-08   7.71696298e-05
    52       1   1.22566129e+00   9.75792122e-01
    52       2   4.99275743e-03   4.86184446e+00
    52       3   5.27727005e-05   7.06262869e-03
    52       4   2.78644124e-07   4.55707081e-05
    53       1   1.29067488e+00   9.47154484e-01
    53       2   3.25036414e-03   3.68791307e+00
    53       3   3.25526938e-05   4.37751571e-03
    53       4   2.45301327e-07   2.46986810e-05
    54       1   1.45372630e+00   8.93131487e-01
    54       2   1.57422895e-03   2.50176104e+00
    54       3   3.07633769e-05   2.09065448e-03
    54       4   1.33643339e-06   2.82665019e-05
    55       1   2.29886013e+00   7.47828511e-01
    55       2   4.08470516e-04   1.32117725e+00
    55       3   3.15365127e-05   3.34226817e-04
    56       1   2.79678065e-01   1.54714553e-01
    56       2   1.34783320e-03   1.59801000e-01
    56       3   3.85813270e-05   1.02930783e-03
    56       4   3.48458375e-06   2.67129065e-05
    57       1   5.75876444e-01   7.75802281e-01
    57       2   4.20838756e-03   9.93914640e-01
    57       3   1.57295077e-04   3.02844422e-03
    57       4   5.67746420e-06   1.13224863e-04
    58       1   7.40140952e-01   9.66639431e-01
    58       2   1.58674564e-03   2.12145842e+00
    58       3   5.98100785e-05   1.47245201e-03
    58       4   3.90767151e-06   4.20029921e-05
    59       1   8.06398658e-01   9.93759432e-01
    59       2   2.30851116e-03   3.22366893e+00
    59       3   4.86369323e-06   2.42477176e-03
    59       4   4.04483118e-07   4.70865221e-06
    60       1   8.39539587e-01   9.95535100e-01
    60       2   2.98701245e-03   4.28423451e+00
    60       3   1.16148413e-05   3.85528952e-03
    60       4   8.29816132e-07   1.37669042e-05
    61       1   8.57683898e-01   9.90376426e-01
    61       2   4.26846636e-03   5.25810882e+00
    61       3   3.38206123e-05   6.08912341e-03
    61       4   1.33239671e-06   3.23839647e-05
    62       1   8.67670199e-01   9.83780280e-01
    62       2   4.80356358e-03   6.11453922e+00
    62       3   4.42846953e-06   7.95032939e-03
    62       4   2.72794929e-07   6.32006055e-06
    63       1   8.72642099e-01   9.76609579e-01
    63       2   6.20384780e-03   6.81856178e+00
    63       3   8.16317826e-05   1.08309021e-02
    63       4   2.65176023e-07   8.69870633e-05
    64       1   8.74218625e-01   9.69076707e-01
    64       2   7.14300005e-03   7.34027718e+00
    64       3   1.02024867e-04   1.32949782e-02
    64       4   1.15496375e-06   1.18440414e-04
    65       1   8.73308679e-01   9.61225226e-01
    65       2   7.75550125e-03   7.66111934e+00
    65       3   1.35724205e-04   1.53395927e-02
    65       4   6.87873326e-07   1.65943357e-04
    66       1   8.70438889e-01   9.53039719e-01
    66       2   8.01215172e-03   7.78098842e+00
    66       3   1.46733501e-04   1.67635061e-02
    66       4   5.09339006e-07   1.89421880e-04
    67       1   8.65907493e-01   9.44460665e-01
    67       2   8.14492223e-03   7.71697337e+00
    67       3   1.45526412e-04   1.77374443e-02
    67       4   1.83479776e-07   1.92567218e-04
    68       1   8.59873561e-01   9.35400972e-01
    68       2   8.07180506e-03   7.50123410e+00
    68       3   1.54684282e-04   1.81017727e-02
    68       4   2.82095245e-06   2.04307530e-04
    69       1   8.52385461e-01   9.25738042e-01
    69       2   7.78404115e-03   7.16997532e+00
    69       3   1.44881967e-04   1.78646730e-02
    69       4   6.09161358e-07   1.98031046e-04
    70       1   8.43437901e-01   9.15334646e-01
    70       2   7.38067712e-03   6.75816967e+00
    70       3   1.43613754e-04   1.71941759e-02
    70       4   4.61649534e-07   1.96127055e-04
    71       1   8.32913654e-01   9.03997938e-01
