# Time forceX forceY forceZ normalForce
0.35 0.0430331 -7983.87 1.04286e-20 -7983.87
0.352 0.0442941 -8043.1 1.04286e-20 -8043.1
0.354 0.0449899 -8102.32 1.04286e-20 -8102.32
0.356 0.0453755 -8161.54 1.04286e-20 -8161.54
0.358 0.0455897 -8220.77 1.04286e-20 -8220.77
0.36 0.0457089 -8279.99 1.04286e-20 -8279.99
0.362 0.0457752 -8339.22 1.04286e-20 -8339.22
0.364 0.0458121 -8398.45 1.04286e-20 -8398.45
0.366 0.0458325 -8457.67 1.04286e-20 -8457.67
0.368 0.0458436 -8516.9 1.04286e-20 -8516.9
0.37 0.0458496 -8576.12 1.04286e-20 -8576.12
0.372 0.0458527 -8635.35 1.04286e-20 -8635.35
0.374 0.0458541 -8694.57 1.04286e-20 -8694.57
0.376 0.0458547 -8753.8 1.04286e-20 -8753.8
0.378 0.0458547 -8813.02 1.04286e-20 -8813.02
0.38 0.0458544 -8872.25 1.04286e-20 -8872.25
0.382 0.0458539 -8931.47 1.04286e-20 -8931.47
0.384 0.0458534 -8990.7 1.04286e-20 -8990.7
0.386 0.0458528 -9049.92 1.04286e-20 -9049.92
0.388 0.0458521 -9109.15 1.04286e-20 -9109.15
0.39 0.0458515 -9168.37 1.04286e-20 -9168.37
0.392 0.0458508 -9227.6 1.04286e-20 -9227.6
0.394 0.0458502 -9286.82 1.04286e-20 -9286.82
0.396 0.0458496 -9346.05 1.04286e-20 -9346.05
0.398 0.0458489 -9405.27 1.04286e-20 -9405.27
0.4 0.0458483 -9464.5 1.04286e-20 -9464.5
0.402 0.0458477 -9523.73 1.04286e-20 -9523.73
0.404 0.0458472 -9582.95 1.04286e-20 -9582.95
0.406 0.0458466 -9642.18 1.04286e-20 -9642.18
0.408 0.0458461 -9701.4 1.04286e-20 -9701.4
0.41 0.0458456 -9760.63 1.04286e-20 -9760.63
0.412 0.0458451 -9819.85 1.04286e-20 -9819.85
0.414 0.0458446 -9879.08 1.04286e-20 -9879.08
0.416 0.0458442 -9938.3 1.04286e-20 -9938.3
0.418 0.0458438 -9997.53 1.04286e-20 -9997.53
0.42 0.0458434 -10056.8 1.04286e-20 -10056.8
0.422 0.0458431 -10116 1.04286e-20 -10116
0.424 0.0458428 -10175.2 1.04286e-20 -10175.2
0.426 0.0458425 -10234.4 1.04286e-20 -10234.4
