# Time Dx Dy Dz magD
0.155 3.48284e-05 -1.95078e-05 -2.0246e-05 4.47602e-05
0.156 3.48922e-05 -1.95109e-05 -2.02497e-05 4.48129e-05
0.157 3.50674e-05 -1.96549e-05 -2.02425e-05 4.50088e-05
0.158 3.5124e-05 -1.97179e-05 -2.02429e-05 4.50807e-05
0.159 3.52062e-05 -1.98219e-05 -2.02402e-05 4.51891e-05
0.16 3.52839e-05 -1.99298e-05 -2.02378e-05 4.52959e-05
0.161 3.53369e-05 -1.99949e-05 -2.02379e-05 4.53659e-05
0.162 3.53725e-05 -2.00581e-05 -2.02366e-05 4.54209e-05
0.163 3.54439e-05 -2.01425e-05 -2.02365e-05 4.55138e-05
0.164 3.55115e-05 -2.02417e-05 -2.02363e-05 4.56103e-05
0.165 3.5572e-05 -2.03381e-05 -2.02369e-05 4.57006e-05
0.166 3.56158e-05 -2.04389e-05 -2.0236e-05 4.57791e-05
0.167 3.56433e-05 -2.05238e-05 -2.02343e-05 4.58377e-05
0.168 3.56725e-05 -2.05886e-05 -2.02347e-05 4.58897e-05
0.169 3.56937e-05 -2.06512e-05 -2.02355e-05 4.59346e-05
0.17 3.57181e-05 -2.06697e-05 -2.02344e-05 4.59614e-05
0.171 3.5824e-05 -2.06711e-05 -2.02239e-05 4.60398e-05
0.172 3.59326e-05 -2.06764e-05 -2.02195e-05 4.61247e-05
0.173 3.6035e-05 -2.0684e-05 -2.02249e-05 4.62104e-05
0.174 3.61597e-05 -2.06958e-05 -2.02065e-05 4.63049e-05
0.175 3.62966e-05 -2.07137e-05 -2.01962e-05 4.64154e-05
0.176 3.64117e-05 -2.07332e-05 -2.0191e-05 4.65119e-05
0.177 3.65859e-05 -2.07609e-05 -2.01858e-05 4.66584e-05
0.178 3.67183e-05 -2.07856e-05 -2.01802e-05 4.67709e-05
0.179 3.68494e-05 -2.08156e-05 -2.01754e-05 4.68851e-05
0.18 3.69838e-05 -2.08479e-05 -2.01622e-05 4.69995e-05
0.181 3.71234e-05 -2.08851e-05 -2.01329e-05 4.71134e-05
0.182 3.719e-05 -2.09059e-05 -2.01262e-05 4.71722e-05
0.183 3.74155e-05 -2.09782e-05 -2.00995e-05 4.73708e-05
0.184 3.7611e-05 -2.10199e-05 -2.0077e-05 4.75343e-05
0.185 3.77938e-05 -2.1082e-05 -2.00593e-05 4.76991e-05
0.186 3.79707e-05 -2.11249e-05 -2.0055e-05 4.78564e-05
0.187 3.80056e-05 -2.11417e-05 -2.00526e-05 4.78905e-05
0.188 3.81933e-05 -2.12046e-05 -2.00361e-05 4.80604e-05
0.189 3.84535e-05 -2.1268e-05 -2.00008e-05 4.82808e-05
0.19 3.86967e-05 -2.13176e-05 -1.99679e-05 4.84829e-05
0.191 3.8872e-05 -2.13641e-05 -1.99581e-05 4.86393e-05
0.192 3.89076e-05 -2.13831e-05 -1.9955e-05 4.86749e-05
0.193 3.9103e-05 -2.14601e-05 -1.99413e-05 4.88594e-05
0.194 3.93581e-05 -2.15298e-05 -1.9921e-05 4.9086e-05
0.195 3.95485e-05 -2.15867e-05 -1.99055e-05 4.92575e-05
0.196 3.95764e-05 -2.16041e-05 -1.98985e-05 4.92847e-05
0.197 3.97176e-05 -2.16654e-05 -1.9885e-05 4.94195e-05
0.198 3.98917e-05 -2.17411e-05 -1.98647e-05 4.95846e-05
0.199 4.01663e-05 -2.18263e-05 -1.98438e-05 4.98347e-05
0.2 4.02041e-05 -2.18492e-05 -1.98365e-05 4.98722e-05
0.201 4.04953e-05 -2.19522e-05 -1.98106e-05 5.01421e-05
0.202 4.06759e-05 -2.20175e-05 -1.97887e-05 5.0308e-05
0.203 4.07793e-05 -2.20809e-05 -1.97747e-05 5.04139e-05
0.204 4.09304e-05 -2.21451e-05 -1.97603e-05 5.05586e-05
0.205 4.11006e-05 -2.22119e-05 -1.97514e-05 5.07222e-05
0.206 4.12661e-05 -2.22787e-05 -1.97582e-05 5.08883e-05
0.207 4.14341e-05 -2.23457e-05 -1.97436e-05 5.10482e-05
0.208 4.16121e-05 -2.24543e-05 -1.97258e-05 5.12335e-05
0.209 4.18243e-05 -2.26008e-05 -1.97078e-05 5.14632e-05
0.21 4.18675e-05 -2.26262e-05 -1.97035e-05 5.15078e-05
0.211 4.21645e-05 -2.2735e-05 -1.96791e-05 5.17879e-05
0.212 4.21939e-05 -2.2756e-05 -1.96742e-05 5.18192e-05
0.213 4.2372e-05 -2.28336e-05 -1.96575e-05 5.19921e-05
0.214 4.26082e-05 -2.29327e-05 -1.96352e-05 5.22198e-05
0.215 4.27889e-05 -2.30198e-05 -1.96237e-05 5.24013e-05
0.216 4.29517e-05 -2.30848e-05 -1.96099e-05 5.25577e-05
0.217 4.30774e-05 -2.3152e-05 -1.95941e-05 5.2684e-05
0.218 4.31031e-05 -2.3173e-05 -1.9589e-05 5.27124e-05
0.219 4.33815e-05 -2.32898e-05 -1.95626e-05 5.29817e-05
0.22 4.35183e-05 -2.33527e-05 -1.95491e-05 5.31165e-05
0.221 4.36642e-05 -2.34186e-05 -1.95333e-05 5.32592e-05
0.222 4.36992e-05 -2.34445e-05 -1.95286e-05 5.32975e-05
0.223 4.38701e-05 -2.35206e-05 -1.95119e-05 5.34651e-05
0.224 4.40809e-05 -2.36102e-05 -1.94911e-05 5.367e-05
0.225 4.42109e-05 -2.36733e-05 -1.94739e-05 5.37983e-05
