# Time forceX forceY forceZ normalForce
0.142 0.0083696 6.94843e-05 0.00301833 -2.97472
0.143 0.00839161 7.30678e-05 0.00303158 -2.98565
0.144 0.00845723 6.15093e-05 0.00303116 -2.99767
0.145 0.00849191 5.41054e-05 0.00303764 -3.0055
0.146 0.00851704 5.53924e-05 0.00303736 -3.01174
0.147 0.00858291 4.70531e-05 0.00304114 -3.024
0.148 0.0085962 5.25048e-05 0.00304558 -3.0286
0.149 0.00863536 3.83138e-05 0.00304889 -3.03756
0.15 0.00865212 4.24029e-05 0.00303751 -3.03913
0.151 0.00870569 3.60035e-05 0.00304032 -3.04934
0.152 0.00873852 4.13093e-05 0.00303891 -3.05457
0.153 0.00873323 2.9495e-05 0.00303732 -3.05758
0.154 0.00876349 3.66744e-05 0.00303533 -3.06054
0.155 0.00877713 3.3003e-05 0.00302926 -3.06391
0.156 0.0087687 2.63106e-05 0.00302238 -3.06522
0.157 0.0087872 3.4145e-05 0.00301718 -3.06838
0.158 0.00878428 2.98559e-05 0.00301602 -3.06866
0.159 0.00879406 2.91697e-05 0.00301296 -3.06969
0.16 0.00879198 2.77196e-05 0.00301309 -3.07088
0.161 0.00878776 2.33547e-05 0.00301642 -3.07064
0.162 0.00879695 3.3118e-05 0.00300757 -3.07183
0.163 0.00880117 3.17352e-05 0.00300818 -3.07202
0.164 0.00880503 3.40936e-05 0.00300576 -3.07239
0.165 0.00880977 3.53362e-05 0.00300511 -3.07265
0.166 0.00881876 3.24161e-05 0.00300651 -3.07325
0.167 0.00882521 3.58125e-05 0.00300348 -3.07337
0.168 0.00883483 3.65582e-05 0.00300622 -3.0733
0.169 0.00883975 3.85936e-05 0.00299831 -3.07312
0.17 0.00884306 3.61077e-05 0.00300431 -3.07302
0.171 0.0088664 3.19712e-05 0.00298997 -3.07064
0.172 0.00889052 2.667e-05 0.00297511 -3.06831
0.173 0.00891725 1.09113e-05 0.00294978 -3.06585
0.174 0.00892673 9.69352e-06 0.00294321 -3.06287
0.175 0.00893923 9.02739e-07 0.00291927 -3.05968
0.176 0.00894716 -1.56489e-06 0.00291739 -3.05687
0.177 0.00894727 -1.7336e-06 0.00289592 -3.05326
0.178 0.00895388 -1.38292e-05 0.00288168 -3.04997
0.179 0.00894586 -1.46107e-05 0.00285879 -3.04603
0.18 0.00893089 -2.08174e-07 0.00287834 -3.04196
