# Time forceX forceY forceZ normalForce
0.084 0.000433635 -0.000485707 1.06609e-06 0.012097
0.085 0.000386558 -0.000477758 -1.9415e-05 0.00895697
0.086 0.00034755 -0.000436413 -2.62555e-05 0.00691487
0.087 0.000319952 -0.000438761 -2.69775e-05 0.00724
0.088 0.000287875 -0.000404786 -7.67033e-06 0.00545264
0.089 0.000259474 -0.000415024 -8.73697e-06 0.00456807
0.09 0.000256091 -0.000404823 -4.96084e-07 0.00468185
0.091 0.000260199 -0.000393703 2.18062e-06 0.00474773
0.092 0.000285611 -0.000396124 9.4812e-06 0.00731714
0.093 0.000250612 -0.000395346 9.5993e-06 0.00461145
0.094 0.000301268 -0.000394462 3.909e-06 0.00803711
0.095 0.000278897 -0.000405561 1.35809e-05 0.00763724
0.096 0.000289771 -0.00041591 2.49438e-05 0.0092224
0.097 0.000308138 -0.000409791 1.86558e-05 0.00876622
0.098 0.00024779 -0.000394821 2.02232e-06 0.00342007
0.099 0.000263479 -0.000386413 1.21882e-05 0.00579038
0.1 0.000229553 -0.000384526 6.75184e-06 0.00310263
0.101 0.000265175 -0.000363802 -3.77081e-06 0.00447119
0.102 0.000223862 -0.000362367 5.91151e-06 0.00272031
0.103 0.000183373 -0.000338988 3.57547e-06 5.54824e-05
0.104 0.000144919 -0.00031212 2.28188e-06 -0.000857873
0.105 0.000201084 -0.00031896 2.12274e-05 0.00504224
0.106 0.000233634 -0.000325631 4.48921e-05 0.0061899
0.107 0.000286056 -0.000355296 2.71345e-05 0.00830788
0.108 0.000200884 -0.000317669 1.46275e-05 0.000809166
0.109 0.000261213 -0.00033659 2.87587e-05 0.00653986
0.11 0.000260318 -0.000324208 1.2175e-05 0.00234614
0.111 0.000317534 -0.000341644 1.11708e-05 0.0064759
0.112 0.000361185 -0.000366281 3.32892e-05 0.00895552
0.113 0.000308672 -0.000341247 1.27473e-05 0.00276279
0.114 0.000277485 -0.000334158 6.49815e-06 0.0010888
0.115 0.000282283 -0.000335006 1.55351e-05 0.00294179
