  Time  Coordinate0  Coordinate1  Coordinate2  Force0  Force1  Force2
 2.70000000e-02   2.42342551e-03  -1.20708868e-03   2.46674042e-02  -6.16232363e-05   2.39946078e-05  -9.09888846e-06
 2.80000000e-02   2.42342551e-03  -1.20708868e-03   2.46674042e-02  -6.62343293e-05   2.57899612e-05  -9.77965987e-06
 2.90000000e-02   2.42342551e-03  -1.20708868e-03   2.46674042e-02  -7.08454275e-05   2.75853013e-05  -1.04604204e-05
 3.00000000e-02   2.42342551e-03  -1.20708868e-03   2.46674042e-02  -7.54565344e-05   2.93806318e-05  -1.11411722e-05
 3.10000000e-02   2.42342551e-03  -1.20708868e-03   2.46674042e-02  -8.04017723e-05   3.13060596e-05  -1.18712555e-05
 3.20000000e-02   2.42342551e-03  -1.20708868e-03   2.46674042e-02  -8.56042706e-05   3.33316489e-05  -1.26393171e-05
 3.30000000e-02   2.42342551e-03  -1.20708868e-03   2.46674042e-02  -9.08067724e-05   3.53572244e-05  -1.34073674e-05
 3.40000000e-02   2.42342551e-03  -1.20708868e-03   2.46674042e-02  -9.60092835e-05   3.73827904e-05  -1.41754091e-05
 3.50000000e-02   2.42342551e-03  -1.20708868e-03   2.46674042e-02  -1.01326183e-04   3.94528880e-05  -1.49603339e-05
 3.60000000e-02   2.42342551e-03  -1.20708868e-03   2.46674042e-02  -1.07055847e-04   4.16837048e-05  -1.58062039e-05
 3.70000000e-02   2.42342551e-03  -1.20708868e-03   2.46674042e-02  -1.12785513e-04   4.39145094e-05  -1.66520642e-05
 3.80000000e-02   2.42342551e-03  -1.20708868e-03   2.46674042e-02  -1.18515182e-04   4.61453041e-05  -1.74979163e-05
 3.90000000e-02   2.42342551e-03  -1.20708868e-03   2.46674042e-02  -1.24244856e-04   4.83760903e-05  -1.83437611e-05
 4.00000000e-02   2.42342551e-03  -1.20708868e-03   2.46674042e-02  -1.30359018e-04   5.07565912e-05  -1.92463801e-05
 4.10000000e-02   2.42342551e-03  -1.20708868e-03   2.46674042e-02  -1.36530637e-04   5.31594584e-05  -2.01574779e-05
 4.20000000e-02   2.42342551e-03  -1.20708868e-03   2.46674042e-02  -1.42702262e-04   5.55623204e-05  -2.10685708e-05
 4.30000000e-02   2.42342551e-03  -1.20708868e-03   2.46674042e-02  -1.48873886e-04   5.79651750e-05  -2.19796581e-05
 4.40000000e-02   2.42342551e-03  -1.20708868e-03   2.46674042e-02  -1.55224525e-04   6.04377366e-05  -2.29171795e-05
 4.50000000e-02   2.42342551e-03  -1.20708868e-03   2.46674042e-02  -1.61739088e-04   6.29741316e-05  -2.38789086e-05
 4.60000000e-02   2.42342551e-03  -1.20708868e-03   2.46674042e-02  -1.68253649e-04   6.55105237e-05  -2.48406359e-05
 4.70000000e-02   2.42342551e-03  -1.20708868e-03   2.46674042e-02  -1.74768213e-04   6.80469153e-05  -2.58023620e-05
 4.80000000e-02   2.42342551e-03  -1.20708868e-03   2.46674042e-02  -1.81321984e-04   7.05985739e-05  -2.67698777e-05
 4.90000000e-02   2.42342551e-03  -1.20708868e-03   2.46674042e-02  -1.88061818e-04   7.32226972e-05  -2.77648782e-05
 5.00000000e-02   2.42342551e-03  -1.20708868e-03   2.46674042e-02  -1.94801648e-04   7.58468251e-05  -2.87598828e-05
 5.10000000e-02   2.42342551e-03  -1.20708868e-03   2.46674042e-02  -2.01541482e-04   7.84709588e-05  -2.97548912e-05
 5.20000000e-02   2.42342551e-03  -1.20708868e-03   2.46674042e-02  -2.08281308e-04   8.10950927e-05  -3.07499007e-05
 5.30000000e-02   2.42342551e-03  -1.20708868e-03   2.46674042e-02  -2.15097003e-04   8.37487885e-05  -3.17561275e-05
 5.40000000e-02   2.42342551e-03  -1.20708868e-03   2.46674042e-02  -2.21928678e-04   8.64087231e-05  -3.27647265e-05
 5.50000000e-02   2.42342551e-03  -1.20708868e-03   2.46674042e-02  -2.28760360e-04   8.90686724e-05  -3.37733356e-05
 5.60000000e-02   2.42342551e-03  -1.20708868e-03   2.46674042e-02  -2.35592021e-04   9.17286231e-05  -3.47819490e-05
 5.70000000e-02   2.42342551e-03  -1.20708868e-03   2.46674042e-02  -2.42397716e-04   9.43784817e-05  -3.57867421e-05
 5.80000000e-02   2.42342551e-03  -1.20708868e-03   2.46674042e-02  -2.49175037e-04   9.70173186e-05  -3.67873656e-05
 5.90000000e-02   2.42342551e-03  -1.20708868e-03   2.46674042e-02  -2.55952361e-04   9.96561780e-05  -3.77880057e-05
 6.00000000e-02   2.42342551e-03  -1.20708868e-03   2.46674042e-02  -2.62729679e-04   1.02295051e-04  -3.87886578e-05
 6.10000000e-02   2.42342551e-03  -1.20708868e-03   2.46674042e-02  -2.69479991e-04   1.04923426e-04  -3.97853351e-05
 6.20000000e-02   2.42342551e-03  -1.20708868e-03   2.46674042e-02  -2.76049565e-04   1.07481459e-04  -4.07553503e-05
 6.30000000e-02   2.42342551e-03  -1.20708868e-03   2.46674042e-02  -2.82619132e-04   1.10039518e-04  -4.17253875e-05
 6.40000000e-02   2.42342551e-03  -1.20708868e-03   2.46674042e-02  -2.89188700e-04   1.12597603e-04  -4.26954435e-05
 6.50000000e-02   2.42342551e-03  -1.20708868e-03   2.46674042e-02  -2.95758252e-04   1.15155701e-04  -4.36655128e-05
 6.60000000e-02   2.42342551e-03  -1.20708868e-03   2.46674042e-02  -3.02038720e-04   1.17601268e-04  -4.45929210e-05
 6.70000000e-02   2.42342551e-03  -1.20708868e-03   2.46674042e-02  -3.08239066e-04   1.20015673e-04  -4.55085266e-05
 6.80000000e-02   2.42342551e-03  -1.20708868e-03   2.46674042e-02  -3.14439405e-04   1.22430107e-04  -4.64241553e-05
 6.90000000e-02   2.42342551e-03  -1.20708868e-03   2.46674042e-02  -3.20639736e-04   1.24844564e-04  -4.73398032e-05
 7.00000000e-02   2.42342551e-03  -1.20708868e-03   2.46674042e-02  -3.26612169e-04   1.27170311e-04  -4.82218222e-05
 7.10000000e-02   2.42342551e-03  -1.20708868e-03   2.46674042e-02  -3.32288598e-04   1.29380837e-04  -4.90601628e-05
 7.20000000e-02   2.42342551e-03  -1.20708868e-03   2.46674042e-02  -3.37965029e-04   1.31591402e-04  -4.98985326e-05
 7.30000000e-02   2.42342551e-03  -1.20708868e-03   2.46674042e-02  -3.43641453e-04   1.33801994e-04  -5.07369253e-05
 7.40000000e-02   2.42342551e-03  -1.20708868e-03   2.46674042e-02  -3.49259432e-04   1.35989857e-04  -5.15667095e-05
 7.50000000e-02   2.42342551e-03  -1.20708868e-03   2.46674042e-02  -3.54264255e-04   1.37939001e-04  -5.23059817e-05
 7.60000000e-02   2.42342551e-03  -1.20708868e-03   2.46674042e-02  -3.59269063e-04   1.39888181e-04  -5.30452835e-05
 7.70000000e-02   2.42342551e-03  -1.20708868e-03   2.46674042e-02  -3.64273853e-04   1.41837388e-04  -5.37846090e-05
