# Region      : all region0
# Cells       : 20352
# Volume      : 5.203692e-08
# Time        	max(magU)
0.113         	6.713058e-02
0.114         	7.024330e-02
0.115         	7.331876e-02
0.116         	7.635597e-02
0.117         	7.935402e-02
0.118         	8.228130e-02
0.119         	8.511698e-02
0.12          	8.786183e-02
0.121         	9.051830e-02
0.122         	9.307548e-02
0.123         	9.549555e-02
0.124         	9.778103e-02
0.125         	9.993672e-02
0.126         	1.019679e-01
0.127         	1.038308e-01
0.128         	1.055520e-01
0.129         	1.071112e-01
0.13          	1.085154e-01
0.131         	1.097422e-01
0.132         	1.107751e-01
0.133         	1.116210e-01
0.134         	1.122884e-01
0.135         	1.127752e-01
0.136         	1.130516e-01
0.137         	1.131252e-01
0.138         	1.130052e-01
0.139         	1.127012e-01
0.14          	1.121851e-01
0.141         	1.114598e-01
0.142         	1.105344e-01
0.143         	1.094191e-01
0.144         	1.081054e-01
0.145         	1.065850e-01
0.146         	1.048676e-01
0.147         	1.029628e-01
0.148         	1.008758e-01
0.149         	9.859420e-02
0.15          	9.612663e-02
0.151         	9.348266e-02
0.152         	9.067155e-02
0.153         	8.768879e-02
0.154         	8.453978e-02
0.155         	8.123316e-02
0.156         	7.777748e-02
0.157         	7.421661e-02
0.158         	7.059859e-02
0.159         	6.693170e-02
0.16          	6.322172e-02
0.161         	5.948709e-02
0.162         	5.582266e-02
0.163         	5.223494e-02
0.164         	4.872510e-02
0.165         	4.529330e-02
0.166         	4.194199e-02
0.167         	3.867061e-02
0.168         	3.547698e-02
0.169         	3.237074e-02
0.17          	2.936819e-02
0.171         	2.644065e-02
0.172         	2.358520e-02
0.173         	2.079921e-02
0.174         	1.807992e-02
0.175         	1.542800e-02
0.176         	1.284120e-02
0.177         	1.031441e-02
0.178         	7.847163e-03
0.179         	5.438196e-03
0.18          	3.189460e-03
0.181         	4.530066e-03
0.182         	5.862245e-03
0.183         	7.181633e-03
0.184         	8.484922e-03
0.185         	1.013768e-02
0.186         	1.195297e-02
0.187         	1.376886e-02
0.188         	1.557166e-02
0.189         	1.747390e-02
0.19          	1.939578e-02
0.191         	2.127738e-02
0.192         	2.311403e-02
0.193         	2.490448e-02
0.194         	2.665042e-02
0.195         	2.835417e-02
0.196         	3.001397e-02
0.197         	3.162493e-02
0.198         	3.318847e-02
0.199         	3.470687e-02
0.2           	3.618263e-02
0.201         	3.760665e-02
0.202         	3.897973e-02
0.203         	4.030429e-02
0.204         	4.158273e-02
0.205         	4.280988e-02
0.206         	4.398259e-02
0.207         	4.510394e-02
0.208         	4.617508e-02
0.209         	4.719634e-02
0.21          	4.816090e-02
0.211         	4.907012e-02
0.212         	4.992659e-02
0.213         	5.073302e-02
0.214         	5.148072e-02
0.215         	5.217021e-02
0.216         	5.280414e-02
0.217         	5.338546e-02
0.218         	5.390984e-02
0.219         	5.437456e-02
0.22          	5.478157e-02
0.221         	5.513390e-02
0.222         	5.543129e-02
0.223         	5.566799e-02
0.224         	5.584545e-02
0.225         	5.596657e-02
0.226         	5.603434e-02
0.227         	5.604186e-02
0.228         	5.598941e-02
0.229         	5.588020e-02
0.23          	5.571695e-02
0.231         	5.549705e-02
0.232         	5.521814e-02
0.233         	5.488228e-02
0.234         	5.449288e-02
0.235         	5.405075e-02
0.236         	5.355123e-02
0.237         	5.299640e-02
0.238         	5.238890e-02
0.239         	5.173164e-02
0.24          	5.102044e-02
0.241         	5.025608e-02
0.242         	4.944122e-02
0.243         	4.857858e-02
0.244         	4.766740e-02
0.245         	4.670666e-02
0.246         	4.569850e-02
0.247         	4.464556e-02
0.248         	4.354945e-02
0.249         	4.240827e-02
0.25          	4.122368e-02
