# Time forceX forceY forceZ normalForce
0.159 -0.00333926 -0.000462923 4.34122e-06 -0.0376824
0.16 -0.00333695 -0.000463335 4.33553e-06 -0.037682
0.161 -0.00334552 -0.000465405 4.34095e-06 -0.0376819
0.162 -0.00333137 -0.000461166 4.3394e-06 -0.0376811
0.163 -0.00333779 -0.000463425 4.34324e-06 -0.037683
0.164 -0.00334396 -0.000465011 4.34115e-06 -0.0376819
0.165 -0.00333895 -0.000463299 4.33735e-06 -0.0376819
0.166 -0.00333167 -0.000460981 4.33607e-06 -0.0376813
0.167 -0.00333647 -0.000462071 4.33636e-06 -0.0376815
0.168 -0.00334157 -0.000468639 4.33665e-06 -0.0376825
0.169 -0.00334813 -0.000459759 4.33964e-06 -0.0376812
0.17 -0.00336258 -0.000477292 4.33549e-06 -0.0376823
0.171 -0.00334538 -0.000467755 4.3563e-06 -0.0376825
0.172 -0.00335587 -0.000481316 4.3666e-06 -0.0376832
0.173 -0.00336248 -0.000475768 4.36687e-06 -0.037682
0.174 -0.00330827 -0.000478396 4.35624e-06 -0.0376808
0.175 -0.00336377 -0.000481553 4.35352e-06 -0.0376821
0.176 -0.0033244 -0.000468487 4.35016e-06 -0.0376812
0.177 -0.00329745 -0.000459497 4.33462e-06 -0.0376786
0.178 -0.00333235 -0.00046983 4.31299e-06 -0.037677
0.179 -0.00334675 -0.000467856 4.30406e-06 -0.037676
0.18 -0.00328795 -0.000464927 4.3043e-06 -0.037677
0.181 -0.00329256 -0.000468134 4.29252e-06 -0.0376738
0.182 -0.00332903 -0.000461749 4.27837e-06 -0.0376748
0.183 -0.00329016 -0.000465134 4.2697e-06 -0.0376703
0.184 -0.00330553 -0.000466122 4.30862e-06 -0.037671
0.185 -0.00331994 -0.000472878 4.29764e-06 -0.0376714
0.186 -0.00332443 -0.000471239 4.30735e-06 -0.0376672
0.187 -0.00332943 -0.00046395 4.29507e-06 -0.0376676
0.188 -0.00332642 -0.000458226 4.30435e-06 -0.0376649
0.189 -0.00332057 -0.000465021 4.34951e-06 -0.0376663
0.19 -0.00330106 -0.000460606 4.35688e-06 -0.0376631
0.191 -0.00332625 -0.00046466 4.35525e-06 -0.03766
0.192 -0.00333555 -0.000464069 4.3293e-06 -0.0376597
0.193 -0.00334433 -0.00046531 4.33187e-06 -0.0376574
0.194 -0.00331896 -0.000464877 4.3816e-06 -0.0376558
0.195 -0.00331059 -0.000464284 4.38122e-06 -0.0376529
0.196 -0.00330056 -0.00045679 4.35788e-06 -0.0376576
0.197 -0.00333573 -0.000464054 4.33604e-06 -0.0376524
0.198 -0.00330881 -0.000456955 4.33983e-06 -0.037655
0.199 -0.00333207 -0.000464758 4.42463e-06 -0.0376476
0.2 -0.0033329 -0.000463536 4.39502e-06 -0.0376478
0.201 -0.00332139 -0.000464324 4.40783e-06 -0.0376431
0.202 -0.00331755 -0.000464369 4.42109e-06 -0.0376452
0.203 -0.00332013 -0.000463975 4.41902e-06 -0.0376409
0.204 -0.00334214 -0.000462678 4.40857e-06 -0.0376388
0.205 -0.00331767 -0.000462067 4.42538e-06 -0.0376402
0.206 -0.00332103 -0.000464085 4.42246e-06 -0.0376354
0.207 -0.00331904 -0.000462707 4.42118e-06 -0.0376329
0.208 -0.00330195 -0.000450653 4.40822e-06 -0.0376382
0.209 -0.00331594 -0.000449951 4.42304e-06 -0.0376424
0.21 -0.00332973 -0.000458321 4.40936e-06 -0.0376303
0.211 -0.00332846 -0.000459608 4.44714e-06 -0.0376264
0.212 -0.00332942 -0.000458855 4.42745e-06 -0.0376266
0.213 -0.00333183 -0.000457567 4.41064e-06 -0.0376246
0.214 -0.00333969 -0.000456797 4.46692e-06 -0.0376215
0.215 -0.0033166 -0.000456336 4.46242e-06 -0.0376212
0.216 -0.00331583 -0.000457175 4.46572e-06 -0.0376176
0.217 -0.00333992 -0.000455862 4.45611e-06 -0.0376153
0.218 -0.00333562 -0.000456796 4.43999e-06 -0.0376161
0.219 -0.00331895 -0.000465711 4.45632e-06 -0.0376246
0.22 -0.00331755 -0.000454196 4.46841e-06 -0.0376108
0.221 -0.00331586 -0.000453078 4.46914e-06 -0.0376091
0.222 -0.00332609 -0.000453377 4.4498e-06 -0.0376102
0.223 -0.00332387 -0.000451597 4.42244e-06 -0.0376083
0.224 -0.0033431 -0.000450975 4.46158e-06 -0.0376037
0.225 -0.00330685 -0.0004509 4.47383e-06 -0.0376026
0.226 -0.00332736 -0.000451143 4.49046e-06 -0.0375983
0.227 -0.00331712 -0.000450006 4.49177e-06 -0.0376005
0.228 -0.003336 -0.000449779 4.47883e-06 -0.0375986
0.229 -0.00332736 -0.000449042 4.4939e-06 -0.0375977
0.23 -0.00328915 -0.000447081 4.48507e-06 -0.0376012
0.231 -0.00332651 -0.000448932 4.50163e-06 -0.0375949
0.232 -0.00330606 -0.000447848 4.50036e-06 -0.0375928
0.233 -0.00331584 -0.000447059 4.50411e-06 -0.0375948
0.234 -0.00332639 -0.000446561 4.48068e-06 -0.0376028
0.235 -0.00333272 -0.000447122 4.49204e-06 -0.0375917
0.236 -0.00332628 -0.000445328 4.50783e-06 -0.0375846
0.237 -0.00332411 -0.000445777 4.52511e-06 -0.0375863
0.238 -0.00331633 -0.000445192 4.48893e-06 -0.0375872
0.239 -0.00331861 -0.000444212 4.4961e-06 -0.0375945
0.24 -0.00331461 -0.000443144 4.50479e-06 -0.0375929
0.241 -0.00332054 -0.000444636 4.53064e-06 -0.0375835
0.242 -0.00330859 -0.000444556 4.51588e-06 -0.0375823
0.243 -0.00332228 -0.000443887 4.50689e-06 -0.0375817
0.244 -0.0033081 -0.000441731 4.50769e-06 -0.0375913
0.245 -0.00332337 -0.000443171 4.5107e-06 -0.0375785
0.246 -0.00331595 -0.000442691 4.52177e-06 -0.0375794
0.247 -0.00330632 -0.000442461 4.52414e-06 -0.0375792
0.248 -0.00331279 -0.000441906 4.50869e-06 -0.0375772
0.249 -0.00331279 -0.000441163 4.50338e-06 -0.0375773
0.25 -0.00331727 -0.000441744 4.51854e-06 -0.0375763
