  TimeWindow  Iteration  ResRel(Solid-Mesh:Displacement)  ResRel(Fluid-Mesh:Force)
    59       1   1.37966996e-02   1.27881139e-02
    59       2   1.01780639e-03   1.07355750e-02
    59       3   7.83065694e-04   1.03394864e-03
    59       4   8.90886830e-05   3.74537778e-04
    59       5   6.06532913e-06   4.87082462e-05
    60       1   1.48517683e-02   1.35017466e-02
    60       2   7.41913537e-04   1.23864033e-02
    60       3   3.92753530e-06   3.22209892e-04
    60       4   6.88295303e-06   3.02490372e-06
    61       1   1.27627349e-02   1.12522204e-02
    61       2   1.73948275e-03   1.10997511e-02
    61       3   2.56695824e-04   7.48592555e-04
    61       4   2.76944934e-06   1.47783640e-04
    61       5   3.87632676e-06   2.37411035e-06
    62       1   8.59481459e-03   7.19834926e-03
    62       2   3.61629439e-04   6.44515565e-03
    62       3   2.05452555e-05   2.39827236e-04
    62       4   9.92855386e-06   6.83399728e-06
    63       1   3.35362099e-03   3.39978356e-03
    63       2   7.97837924e-03   2.24123507e-03
    63       3   1.95605934e-03   3.22997469e-03
    63       4   3.62177186e-04   1.28956055e-03
    63       5   8.88637110e-05   1.35725539e-04
    63       6   2.93406665e-06   4.74244880e-05
    64       1   1.84538473e-03   5.27520499e-03
    64       2   5.64396910e-04   2.71005491e-03
    64       3   1.17486486e-04   3.50870660e-04
    64       4   1.77974430e-06   5.21581360e-05
    65       1   6.48575972e-03   9.42678608e-03
    65       2   2.76769015e-04   6.21084908e-03
    65       3   7.31698556e-05   1.44497004e-04
    65       4   1.85682687e-06   4.12946686e-05
    66       1   1.00104527e-02   1.28680836e-02
    66       2   2.70352066e-04   9.52036196e-03
    66       3   9.15973642e-05   1.40152351e-04
    66       4   3.77028518e-05   2.68917214e-05
    67       1   1.19152541e-02   1.48412372e-02
    67       2   2.27061727e-03   1.22138278e-02
    67       3   1.39784422e-04   1.22989958e-03
    67       4   7.46308414e-05   1.02599691e-04
    67       5   5.03827712e-06   3.65913175e-05
    68       1   1.30282073e-02   1.60117974e-02
    68       2   3.49519820e-03   1.38234375e-02
    68       3   1.05817019e-04   1.75002583e-03
    68       4   2.50690241e-05   8.46242251e-05
    69       1   1.24893851e-02   1.56778858e-02
    69       2   1.39473052e-03   1.09055151e-02
    69       3   3.47660163e-04   6.17926166e-04
    69       4   3.89003937e-05   2.13825893e-04
    69       5   6.53311935e-06   1.58243253e-05
    70       1   1.14269997e-02   1.47965122e-02
    70       2   9.23061947e-04   1.11628299e-02
    70       3   1.34570680e-04   5.09888142e-04
    70       4   2.18277675e-05   5.59551062e-05
    71       1   9.47740282e-03   1.32034914e-02
    71       2   1.07882927e-04   9.11997744e-03
    71       3   6.13157713e-05   4.55411496e-05
    72       1   7.18196191e-03   1.14097476e-02
    72       2   8.59821476e-03   1.15538889e-02
    72       3   4.71387579e-04   4.81515465e-03
    72       4   1.09869332e-04   2.70353740e-04
    72       5   6.85216171e-06   5.96809647e-05
    73       1   5.53875752e-03   1.01437351e-02
    73       2   3.66056022e-03   7.61144705e-03
    73       3   5.16379077e-04   1.65367149e-03
    73       4   8.73398023e-05   2.50291664e-04
    73       5   8.35906821e-06   5.39538172e-05
    74       1   3.78816868e-03   9.08459883e-03
    74       2   2.19673486e-04   4.50145063e-03
    74       3   4.14546043e-05   1.14594079e-04
    74       4   9.34878558e-06   1.60885882e-05
    75       1   2.40023661e-03   8.43193237e-03
    75       2   1.58841507e-03   2.77582609e-03
    75       3   5.71337404e-05   8.80827459e-04
    75       4   1.35694465e-05   3.06191804e-05
    76       1   1.46940631e-03   8.02496788e-03
    76       2   2.41909603e-05   2.73615216e-03
    76       3   1.50121998e-05   4.79270461e-06
    77       1   1.16113116e-03   8.13010324e-03
    77       2   1.53684484e-04   2.61807681e-03
    77       3   1.80404670e-05   9.00752105e-05
    78       1   8.11549099e-04   8.24089538e-03
    78       2   3.97023257e-04   2.28498021e-03
    78       3   2.84614889e-05   1.96968308e-04
    78       4   1.60974888e-06   1.64266960e-05
    79       1   1.03994995e-03   8.51683271e-03
    79       2   5.20123185e-04   2.78931591e-03
    79       3   6.46019210e-05   3.10880567e-04
    79       4   2.86941087e-05   3.92247951e-05
    80       1   1.40452011e-03   8.92575481e-03
    80       2   3.21134730e-04   3.00897757e-03
    80       3   4.01687040e-05   1.39882006e-04
    80       4   2.60327065e-05   1.84243996e-05
    81       1   1.58590437e-03   9.15884993e-03
    81       2   9.95572754e-04   3.44561263e-03
    81       3   5.59328458e-04   2.23858229e-04
    81       4   2.20577738e-04   1.84923780e-04
    81       5   1.70031360e-05   1.21778727e-04
    81       6   1.42953861e-06   1.00301431e-05
    82       1   1.50956689e-03   9.16463284e-03
    82       2   1.21413698e-04   2.95138320e-03
    82       3   2.17679280e-05   5.92720165e-05
    83       1   1.32127950e-03   9.00166652e-03
    83       2   1.34820526e-04   2.89673207e-03
    83       3   1.25431786e-05   7.72121916e-05
    84       1   1.12318449e-03   8.83583379e-03
    84       2   1.09160431e-04   2.64394534e-03
    84       3   8.24556106e-06   6.07794801e-05
    85       1   7.21543148e-04   8.45463553e-03
    85       2   2.33547492e-04   2.45617289e-03
    85       3   4.25086339e-05   1.40600478e-04
    85       4   1.55593796e-05   2.09974249e-05
    86       1   3.41889252e-04   8.03259540e-03
    86       2   1.06081027e-03   1.84914072e-03
    86       3   5.40084859e-04   2.88508609e-04
    86       4   1.28191066e-04   3.67929184e-04
    86       5   2.18939779e-05   7.12391503e-05
    87       1   7.67615193e-04   7.36279603e-03
    87       2   4.67266792e-04   1.60611609e-03
    87       3   6.36562695e-05   2.08551841e-04
    87       4   2.39488410e-05   3.22545234e-05
    88       1   1.56381065e-03   6.78543961e-03
    88       2   1.20738151e-03   1.84631743e-03
    88       3   4.28768365e-04   8.80077768e-04
    88       4   1.70882247e-04   3.15277230e-04
    88       5   1.57107405e-05   1.01396807e-04
    88       6   4.49791125e-06   6.05059032e-06
    89       1   2.20771266e-03   6.27375511e-03
    89       2   1.49637888e-03   1.30165277e-03
    89       3   3.91735692e-05   8.03141655e-04
    89       4   1.50956825e-05   1.98100222e-05
    90       1   2.94301479e-03   5.88993318e-03
    90       2   2.75441114e-04   1.94448548e-03
    90       3   7.80685514e-05   2.09985943e-04
    90       4   2.47620262e-06   3.94721426e-05
    91       1   3.84192630e-03   5.66810404e-03
    91       2   1.12752801e-03   3.27272443e-03
    91       3   3.51070422e-05   6.14813332e-04
    91       4   2.83834212e-06   1.80780031e-05
    92       1   4.56582511e-03   5.53919324e-03
    92       2   1.10823579e-05   3.28157871e-03
    92       3   4.10776785e-05   2.84458610e-06
    93       1   4.89971862e-03   5.33667730e-03
    93       2   1.15108691e-06   3.58605041e-03
    93       3   6.34942163e-05   9.37727297e-06
    94       1   5.24314707e-03   5.29659074e-03
    94       2   3.51812028e-04   4.07599095e-03
    94       3   1.78681127e-04   6.36222918e-05
    94       4   6.27684702e-05   6.43307302e-05
    95       1   6.46952141e-03   5.85083010e-03
    95       2   5.79379511e-04   5.22122803e-03
    95       3   1.59723083e-04   3.62841563e-04
    95       4   7.24921551e-06   7.91541408e-05
    96       1   6.37890056e-03   5.75496222e-03
    96       2   1.43712917e-04   4.97970526e-03
    96       3   8.72633597e-05   8.94808495e-05
    97       1   6.14202594e-03   5.52276981e-03
    97       2   5.21030850e-05   4.73041550e-03
    97       3   8.71869790e-05   1.44199877e-05
    98       1   6.34900865e-03   5.61282412e-03
    98       2   8.83035629e-04   5.42357007e-03
    98       3   4.37862112e-04   2.03879028e-04
    98       4   2.45597098e-04   1.06139003e-04
    98       5   2.08321304e-05   1.23370260e-04
    98       6   7.60410769e-06   1.65549047e-05
    99       1   7.04529168e-03   6.15783456e-03
    99       2   1.04512963e-04   5.61717285e-03
    99       3   1.19826815e-04   8.19950665e-05
    99       4   5.11869895e-05   3.59893111e-05
   100       1   6.94413178e-03   6.13834028e-03
   100       2   7.98732489e-04   5.12280540e-03
   100       3   7.36221867e-05   4.27538386e-04
   100       4   1.12959099e-05   3.72694718e-05
   101       1   7.32718843e-03   6.50099029e-03
   101       2   6.76001861e-04   6.24608195e-03
   101       3   1.53513864e-04   4.07548090e-04
   101       4   9.36369575e-06   7.41597915e-05
   102       1   7.45933555e-03   6.65922008e-03
   102       2   3.07412124e-04   6.18907942e-03
   102       3   6.64704324e-05   1.59905151e-04
   102       4   1.26647298e-05   2.71106353e-05
   103       1   7.49609379e-03   6.76960728e-03
   103       2   1.70601836e-04   6.01394631e-03
   103       3   9.18725343e-05   8.28813658e-05
   104       1   7.01061917e-03   6.38631367e-03
   104       2   6.08472857e-05   5.75656550e-03
   104       3   7.38697022e-05   3.46465819e-05
   105       1   7.08562085e-03   6.46832399e-03
   105       2   9.86646743e-05   5.85139275e-03
   105       3   5.38196164e-05   4.39151798e-05
   106       1   7.16812239e-03   6.55633242e-03
   106       2   8.87132653e-05   5.92037943e-03
   106       3   2.85032198e-05   2.33829900e-05
   107       1   7.25469418e-03   6.71957309e-03
   107       2   6.00416029e-05   6.01106741e-03
   107       3   4.34988080e-05   1.59851392e-05
   108       1   7.06262707e-03   6.54526363e-03
   108       2   2.99565558e-06   5.82453806e-03
   108       3   4.97043666e-05   9.94341086e-06
   109       1   6.89743147e-03   6.38384864e-03
   109       2   3.14557872e-04   5.84601954e-03
   109       3   1.80899577e-04   3.22088053e-05
   109       4   1.48843918e-04   1.84686715e-05
   109       5   7.24701128e-05   4.16979603e-05
   110       1   7.55612914e-03   6.94346864e-03
   110       2   4.57581109e-03   3.92263913e-03
   110       3   5.10358976e-05   2.52763983e-03
   110       4   2.08394361e-05   1.68089601e-05
   111       1   6.79380909e-03   6.28233505e-03
   111       2   1.05210153e-03   5.05769104e-03
   111       3   1.47039494e-04   6.82249523e-04
   111       4   7.42479439e-07   7.48940754e-05
   112       1   6.72478111e-03   6.14924811e-03
   112       2   7.42093285e-04   5.90153968e-03
   112       3   7.64555357e-05   4.03264028e-04
   112       4   6.37350980e-06   3.38838537e-05
   113       1   6.46944637e-03   5.90053601e-03
   113       2   1.14439459e-04   5.36038204e-03
   113       3   7.01066782e-05   6.42457527e-05
   114       1   5.83494111e-03   5.30251667e-03
   114       2   2.43922547e-04   4.64121016e-03
   114       3   1.68490772e-04   7.13475758e-05
   114       4   2.65915530e-05   1.05903249e-04
   114       5   2.08060335e-06   1.45938806e-05
   115       1   6.05791016e-03   5.39093950e-03
   115       2   1.30989259e-03   5.58831451e-03
   115       3   1.46156584e-04   7.50281075e-04
   115       4   5.85158283e-07   7.25545571e-05
   116       1   5.87612768e-03   5.20940013e-03
   116       2   3.05394480e-04   4.58786257e-03
   116       3   6.48284684e-05   1.60803051e-04
   116       4   5.60023958e-06   3.91161366e-05
   117       1   5.74242694e-03   5.06642134e-03
   117       2   1.71164018e-04   4.71312696e-03
   117       3   7.69468913e-05   1.01787758e-04
   117       4   1.62960192e-05   3.14438869e-05
   118       1   5.42781463e-03   4.75552823e-03
   118       2   5.39704150e-05   4.31611610e-03
   118       3   5.23914838e-05   3.05951226e-05
   119       1   5.00590720e-03   4.36284065e-03
   119       2   7.65938157e-05   3.93203342e-03
   119       3   1.07617661e-04   1.01379701e-05
   119       4   3.02921300e-04   1.06310114e-04
   119       5   3.43104854e-06   1.65237661e-04
   119       6   2.25213870e-06   1.61394887e-06
   120       1   5.13933859e-03   4.42302569e-03
   120       2   1.38034768e-03   3.33632084e-03
   120       3   2.58028093e-03   6.25781677e-04
   120       4   7.05485742e-04   1.00741685e-03
   120       5   3.35001415e-04   2.09786330e-04
   120       6   1.34512715e-05   1.90668801e-04
   120       7   1.25457576e-05   1.24181066e-05
   121       1   4.88216230e-03   4.21548347e-03
   121       2   9.68636951e-04   3.30740027e-03
