  TimeWindow  Iteration  ResRel(Solid-Mesh:Displacement)  ResRel(Fluid-Mesh:Force)
    65       1   1.44324397e-01   1.18337751e-01
    65       2   1.58790335e-05   1.22355212e-01
    65       3   1.19939095e-06   1.15657427e-05
    66       1   4.93649342e-02   3.92136269e-02
    66       2   7.86213994e-05   3.80937205e-02
    66       3   1.32272868e-05   5.80636194e-05
    67       1   6.00275398e-02   4.60768266e-02
    67       2   3.81182515e-04   4.18426037e-02
    67       3   2.83443673e-06   2.43209059e-04
    67       4   2.02014994e-07   1.80843207e-06
    68       1   1.83756970e-01   1.34355521e-01
    68       2   2.04121681e-03   1.17552546e-01
    68       3   4.25973368e-06   1.30223705e-03
    68       4   9.59813355e-07   2.88289993e-06
    69       1   3.16179221e-01   2.19467158e-01
    69       2   7.06789999e-05   1.81499745e-01
    69       3   1.70839839e-07   4.52444175e-05
    70       1   4.45429600e-01   2.93620425e-01
    70       2   4.21735423e-05   2.34103776e-01
    70       3   1.01827787e-06   2.60538342e-05
    71       1   5.55585193e-01   3.49385559e-01
    71       2   2.24588245e-05   2.72160640e-01
    71       3   2.68262497e-06   1.64727071e-05
    72       1   6.28835381e-01   3.81510316e-01
    72       2   5.13702042e-06   2.94034551e-01
    72       3   4.38308408e-07   4.11475174e-06
    73       1   6.51381323e-01   3.87493900e-01
    73       2   9.02239465e-06   2.98887728e-01
    73       3   3.58949982e-07   6.36930839e-06
    74       1   6.19448960e-01   3.67984122e-01
    74       2   5.80540463e-06   2.86956164e-01
    74       3   9.25120537e-08   4.43396233e-06
    75       1   5.40257033e-01   3.26116174e-01
    75       2   4.43876750e-06   2.59390479e-01
    75       3   1.15282414e-07   3.42198614e-06
    76       1   4.29239786e-01   2.66994866e-01
    76       2   1.67258852e-05   2.18296282e-01
    76       3   8.69106645e-07   9.67699520e-06
    77       1   3.04630894e-01   1.97019016e-01
    77       2   3.28979555e-06   1.66635179e-01
    77       3   2.01443576e-08   2.28335878e-06
    78       1   1.82044629e-01   1.22861889e-01
    78       2   1.23611083e-05   1.07992332e-01
    78       3   9.39694596e-08   8.69012863e-06
    79       1   7.20979893e-02   5.07088582e-02
    79       2   1.06425419e-05   4.64581446e-02
    79       3   2.11486798e-07   7.51777468e-06
    80       1   1.98173057e-02   1.45473847e-02
    80       2   1.12391867e-05   1.38035537e-02
    80       3   2.13738027e-07   8.69792072e-06
    81       1   9.27465320e-02   6.99683924e-02
    81       2   5.49750138e-05   6.92868677e-02
    81       3   2.61781984e-06   3.53258736e-05
    82       1   1.48394865e-01   1.14791243e-01
    82       2   2.02386110e-06   1.17541310e-01
    82       3   5.07366032e-07   2.19316302e-06
    83       1   1.87720596e-01   1.48225096e-01
    83       2   3.78048063e-06   1.55811549e-01
    83       3   3.08875691e-08   1.82960516e-06
    84       1   2.12673007e-01   1.70439364e-01
    84       2   4.83963599e-06   1.82568589e-01
    84       3   1.68625598e-07   2.96596088e-06
    85       1   2.24994926e-01   1.82098719e-01
    85       2   5.94710899e-07   1.97181948e-01
    85       3   6.19245137e-08   1.27225093e-06
    86       1   2.26136479e-01   1.84019404e-01
    86       2   5.94882798e-06   1.99795210e-01
    86       3   4.63835252e-07   3.91378015e-06
    87       1   2.17269020e-01   1.77054439e-01
    87       2   2.05244495e-06   1.91277748e-01
    87       3   1.90999189e-08   1.70105343e-06
    88       1   1.99331495e-01   1.62059816e-01
    88       2   9.46079004e-07   1.73005018e-01
    88       3   4.36961450e-09   1.15876692e-06
    89       1   1.73089412e-01   1.39899195e-01
    89       2   7.91606736e-07   1.46711666e-01
    89       3   1.03527096e-08   1.02467304e-06
    90       1   1.39299710e-01   1.11548073e-01
    90       2   3.82901051e-07   1.14382655e-01
    90       3   1.20540917e-07   7.18932215e-07
    91       1   9.88291435e-02   7.81562405e-02
    91       2   5.25689097e-06   7.81078246e-02
    91       3   2.76782367e-08   3.88179768e-06
    92       1   5.28676459e-02   4.11626189e-02
    92       2   8.47264230e-06   4.00427792e-02
    92       3   1.55021599e-07   6.04724593e-06
    93       1   3.16237874e-03   2.39424286e-03
    93       2   1.18753181e-05   2.29334176e-03
    93       3   9.94572913e-07   6.57096153e-06
    94       1   4.77822749e-02   3.59103262e-02
    94       2   2.63929874e-04   3.32883485e-02
    94       3   3.87283145e-06   2.13328171e-04
    94       4   2.77996003e-07   3.65238233e-06
    95       1   9.80024965e-02   7.20428459e-02
    95       2   2.06459160e-04   6.48332393e-02
    95       3   1.73646548e-05   1.48532268e-04
    95       4   2.95395247e-07   1.25722550e-05
    96       1   1.43809868e-01   1.03684095e-01
