  TimeWindow  TotalIterations  Iterations  Convergence  QNColumns  DeletedQNColumns  DroppedQNColumns
   302     975       3       1      16       2       0
   303     978       3       1      16       2       0
   304     981       3       1      16       2       0
   305     983       2       1      16       1       0
   306     986       3       1      16       2       0
   307     989       3       1      16       1       1
   308     990       1       1      16       1       1
   309     993       3       1      16       1       1
   310     996       3       1      16       2       0
   311     997       1       1      16       2       0
   312    1000       3       1      15       3       0
   313    1005       5       1      16       3       0
   314    1008       3       1      17       1       0
   315    1009       1       1      17       1       0
   316    1013       4       1      17       3       0
   317    1016       3       1      17       2       0
   318    1019       3       1      18       1       0
   319    1022       3       1      17       2       1
   320    1025       3       1      17       2       0
   321    1026       1       1      17       2       0
   322    1028       2       1      17       1       0
   323    1031       3       1      16       2       1
   324    1034       3       1      15       3       0
   325    1037       3       1      16       1       0
   326    1040       3       1      16       2       0
   327    1043       3       1      16       2       0
   328    1046       3       1      15       3       0
   329    1049       3       1      14       3       0
   330    1052       3       1      16       0       0
   331    1053       1       1      16       0       0
   332    1054       1       1      16       0       0
   333    1056       2       1      16       1       0
   334    1059       3       1      16       2       0
   335    1062       3       1      15       3       0
   336    1063       1       1      15       3       0
   337    1066       3       1      15       2       0
   338    1069       3       1      16       1       0
   339    1072       3       1      15       3       0
   340    1075       3       1      16       1       0
   341    1078       3       1      16       2       0
   342    1081       3       1      15       3       0
   343    1084       3       1      15       2       0
   344    1087       3       1      16       1       0
   345    1090       3       1      17       1       0
   346    1093       3       1      17       2       0
   347    1098       5       1      19       2       0
   348    1101       3       1      18       2       1
   349    1104       3       1      18       2       0
   350    1107       3       1      18       2       0
   351    1110       3       1      17       3       0
   352    1113       3       1      16       3       0
   353    1115       2       1      16       1       0
   354    1118       3       1      16       1       1
   355    1121       3       1      17       1       0
   356    1124       3       1      17       1       1
   357    1125       1       1      17       1       1
   358    1126       1       1      17       1       1
   359    1129       3       1      17       2       0
   360    1132       3       1      16       3       0
   361    1133       1       1      16       3       0
   362    1136       3       1      17       1       0
   363    1139       3       1      17       2       0
   364    1142       3       1      17       2       0
   365    1145       3       1      16       3       0
   366    1146       1       1      16       3       0
   367    1147       1       1      16       3       0
   368    1150       3       1      16       2       0
   369    1153       3       1      16       2       0
   370    1158       5       1      15       5       0
   371    1159       1       1      15       5       0
   372    1162       3       1      14       3       0
   373    1165       3       1      14       2       0
   374    1168       3       1      15       1       0
   375    1171       3       1      16       1       0
   376    1174       3       1      16       2       0
   377    1177       3       1      17       1       0
   378    1180       3       1      17       2       0
   379    1183       3       1      16       3       0
   380    1186       3       1      14       4       0
   381    1189       3       1      14       2       0
   382    1192       3       1      15       1       0
   383    1195       3       1      16       1       0
   384    1198       3       1      16       1       1
   385    1201       3       1      15       3       0
   386    1205       4       1      14       4       0
   387    1206       1       1      14       4       0
   388    1209       3       1      15       1       0
   389    1212       3       1      15       2       0
   390    1215       3       1      16       1       0
   391    1217       2       1      16       1       0
   392    1218       1       1      16       1       0
   393    1221       3       1      16       2       0
   394    1224       3       1      15       3       0
   395    1227       3       1      15       2       0
   396    1230       3       1      15       2       0
   397    1233       3       1      17       0       0
   398    1234       1       1      17       0       0
   399    1237       3       1      17       2       0
   400    1240       3       1      17       2       0
   401    1241       1       1      17       2       0
   402    1244       3       1      17       2       0
   403    1247       3       1      17       2       0
   404    1249       2       1      17       1       0
   405    1252       3       1      16       3       0
   406    1255       3       1      16       1       1
   407    1258       3       1      16       2       0
   408    1263       5       1      14       6       0
   409    1270       7       1      16       4       0
   410    1273       3       1      16       2       0
   411    1276       3       1      16       2       0
   412    1279       3       1      16       2       0
   413    1280       1       1      16       2       0
   414    1286       6       1      15       6       0
   415    1289       3       1      16       1       0
   416    1292       3       1      16       2       0
   417    1295       3       1      16       2       0
   418    1302       7       1      16       6       0
   419    1308       6       1      16       5       0
   420    1311       3       1      17       1       0
   421    1314       3       1      17       2       0
   422    1317       3       1      17       2       0
   423    1320       3       1      17       2       0
   424    1321       1       1      17       2       0
   425    1322       1       1      17       2       0
   426    1325       3       1      16       3       0
   427    1328       3       1      17       1       0
   428    1331       3       1      17       2       0
   429    1334       3       1      18       1       0
   430    1337       3       1      17       2       1
   431    1340       3       1      17       1       1
   432    1343       3       1      17       2       0
   433    1346       3       1      16       3       0
   434    1349       3       1      16       1       1
   435    1352       3       1      16       2       0
   436    1354       2       1      16       1       0
   437    1355       1       1      16       1       0
   438    1359       4       1      16       3       0
   439    1364       5       1      14       6       0
   440    1367       3       1      15       1       0
   441    1370       3       1      15       2       0
   442    1373       3       1      15       2       0
   443    1374       1       1      15       2       0
   444    1380       6       1      15       5       0
   445    1383       3       1      15       2       0
   446    1386       3       1      15       2       0
   447    1388       2       1      16       0       0
   448    1391       3       1      16       2       0
   449    1394       3       1      15       3       0
   450    1397       3       1      15       2       0
   451    1400       3       1      16       1       0
   452    1403       3       1      16       2       0
   453    1406       3       1      15       3       0
   454    1409       3       1      16       1       0
   455    1412       3       1      16       1       1
   456    1415       3       1      16       2       0
   457    1418       3       1      16       2       0
   458    1421       3       1      16       2       0
   459    1422       1       1      16       2       0
   460    1423       1       1      16       2       0
   461    1426       3       1      17       1       0
   462    1429       3       1      16       3       0
   463    1432       3       1      16       2       0
   464    1435       3       1      15       3       0
   465    1438       3       1      16       1       0
   466    1441       3       1      16       2       0
   467    1443       2       1      16       1       0
   468    1444       1       1      16       1       0
   469    1447       3       1      16       2       0
   470    1450       3       1      16       2       0
   471    1453       3       1      16       1       1
   472    1456       3       1      17       1       0
   473    1459       3       1      17       1       1
   474    1462       3       1      18       0       1
   475    1463       1       1      18       0       1
   476    1467       4       1      16       5       0
   477    1470       3       1      17       1       0
   478    1473       3       1      16       3       0
   479    1474       1       1      16       3       0
   480    1478       4       1      15       4       0
   481    1479       1       1      15       4       0
   482    1482       3       1      15       2       0
   483    1485       3       1      15       2       0
   484    1488       3       1      16       1       0
   485    1491       3       1      17       1       0
   486    1494       3       1      16       3       0
   487    1495       1       1      16       3       0
   488    1499       4       1      17       2       0
   489    1500       1       1      17       2       0
   490    1503       3       1      17       1       1
   491    1506       3       1      17       1       1
   492    1509       3       1      16       3       0
   493    1512       3       1      16       1       1
   494    1515       3       1      15       3       0
   495    1518       3       1      14       3       0
   496    1519       1       1      14       3       0
   497    1523       4       1      15       2       0
   498    1524       1       1      15       2       0
   499    1527       3       1      15       2       0
   500    1530       3       1      16       1       0
