  TimeWindow  TotalIterations  Iterations  Convergence
   485    1861       3       1
   486    1862       1       1
   487    1865       3       1
   488    1866       1       1
   489    1867       1       1
   490    1869       2       1
   491    1871       2       1
   492    1872       1       1
   493    1875       3       1
   494    1876       1       1
   495    1878       2       1
   496    1879       1       1
   497    1880       1       1
   498    1883       3       1
   499    1884       1       1
   500    1887       3       1
